"sp","param","est","model.x","t","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model.y","g"
"123","TATO","psi[2]",0.436,"CAM-SC_noinfo_multigrid_t0",0,0.444,0.068,0.327,0.439,0.593,1.32,118,"CAM-SC_noinfo_multigrid",2
"124","TATO","psi[3]",0.409,"CAM-SC_noinfo_multigrid_t0",0,0.418,0.056,0.314,0.416,0.531,1.22,159,"CAM-SC_noinfo_multigrid",3
"125","TATO","psi[4]",0.296,"CAM-SC_noinfo_multigrid_t0",0,0.313,0.051,0.222,0.31,0.418,1.17,164,"CAM-SC_noinfo_multigrid",4
"126","TATO","psi[5]",0.697,"CAM-SC_noinfo_multigrid_t0",0,0.739,0.101,0.567,0.728,0.98,1.24,43,"CAM-SC_noinfo_multigrid",5
"127","TATO","psi[6]",0.254,"CAM-SC_noinfo_multigrid_t0",0,0.261,0.045,0.182,0.259,0.357,1.12,201,"CAM-SC_noinfo_multigrid",6
"128","TATO","psi[7]",0.999,"CAM-SC_noinfo_multigrid_t0",0,0.959,0.039,0.854,0.972,0.999,1.34,49,"CAM-SC_noinfo_multigrid",7
"129","TATO","psi[8]",0.695,"CAM-SC_noinfo_multigrid_t0",0,0.736,0.093,0.579,0.727,0.94,1.43,54,"CAM-SC_noinfo_multigrid",8
"130","TATO","sigma",16.606,"CAM-SC_noinfo_multigrid_t0",0,16.435,0.502,15.491,16.432,17.401,2.08,37,"CAM-SC_noinfo_multigrid",NA
"131","TATO","D[1]",5.523,"CAM-SC_noinfo_multigrid_t15",15,5.671,0.734,4.36,5.626,7.264,1.04,275,"CAM-SC_noinfo_multigrid",1
"132","TATO","D[2]",11.224,"CAM-SC_noinfo_multigrid_t15",15,11.55,1.194,9.158,11.552,13.855,1.07,115,"CAM-SC_noinfo_multigrid",2
"133","TATO","D[3]",7.619,"CAM-SC_noinfo_multigrid_t15",15,7.602,0.892,5.935,7.583,9.413,1.01,222,"CAM-SC_noinfo_multigrid",3
"134","TATO","D[4]",5.181,"CAM-SC_noinfo_multigrid_t15",15,4.99,0.717,3.678,4.98,6.445,1.01,270,"CAM-SC_noinfo_multigrid",4
"135","TATO","D[5]",16.721,"CAM-SC_noinfo_multigrid_t15",15,15.958,1.227,13.455,16.095,17.888,1.07,53,"CAM-SC_noinfo_multigrid",5
"136","TATO","D[6]",4.438,"CAM-SC_noinfo_multigrid_t15",15,4.519,0.694,3.277,4.479,5.981,1.01,277,"CAM-SC_noinfo_multigrid",6
"137","TATO","D[7]",18.129,"CAM-SC_noinfo_multigrid_t15",15,17.6,0.524,16.158,17.724,18.188,1.04,78,"CAM-SC_noinfo_multigrid",7
"138","TATO","D[8]",13.871,"CAM-SC_noinfo_multigrid_t15",15,13.755,1.278,11.297,13.755,16.331,1.1,79,"CAM-SC_noinfo_multigrid",8
"139","TATO","lam0",0.613,"CAM-SC_noinfo_multigrid_t15",15,0.617,0.052,0.518,0.615,0.726,1.14,78,"CAM-SC_noinfo_multigrid",NA
"140","TATO","N[1]",606.666,"CAM-SC_noinfo_multigrid_t15",15,622.934,80.669,479,618,798,1.04,275,"CAM-SC_noinfo_multigrid",1
"141","TATO","N[2]",1232.914,"CAM-SC_noinfo_multigrid_t15",15,1268.773,131.185,1006,1269,1522,1.07,115,"CAM-SC_noinfo_multigrid",2
"142","TATO","N[3]",836.914,"CAM-SC_noinfo_multigrid_t15",15,835.05,98.041,652,833,1034,1.01,222,"CAM-SC_noinfo_multigrid",3
"143","TATO","N[4]",569.148,"CAM-SC_noinfo_multigrid_t15",15,548.111,78.813,404,547,708,1.01,270,"CAM-SC_noinfo_multigrid",4
"144","TATO","N[5]",1836.781,"CAM-SC_noinfo_multigrid_t15",15,1752.987,134.825,1478,1768,1965,1.07,53,"CAM-SC_noinfo_multigrid",5
"145","TATO","N[6]",487.537,"CAM-SC_noinfo_multigrid_t15",15,496.387,76.28,360,492,657,1.01,277,"CAM-SC_noinfo_multigrid",6
"146","TATO","N[7]",1991.478,"CAM-SC_noinfo_multigrid_t15",15,1933.407,57.551,1775,1947,1998,1.04,78,"CAM-SC_noinfo_multigrid",7
"147","TATO","N[8]",1523.714,"CAM-SC_noinfo_multigrid_t15",15,1511.038,140.425,1241,1511,1794,1.1,79,"CAM-SC_noinfo_multigrid",8
"148","TATO","psi[1]",0.308,"CAM-SC_noinfo_multigrid_t15",15,0.311,0.041,0.237,0.309,0.401,1.04,261,"CAM-SC_noinfo_multigrid",1
"149","TATO","psi[2]",0.628,"CAM-SC_noinfo_multigrid_t15",15,0.634,0.066,0.502,0.634,0.762,1.07,117,"CAM-SC_noinfo_multigrid",2
"150","TATO","psi[3]",0.43,"CAM-SC_noinfo_multigrid_t15",15,0.418,0.05,0.324,0.416,0.518,1.01,219,"CAM-SC_noinfo_multigrid",3
