"sp","g","t","m","a","sa","N","SE","LCI","UCI","model"
"FLYING SQUIRREL",5,1440,87.22,9.59931088596881,78400,65.6176063247959,8.20219942226451,51.4079641503162,83.7549265169532,"tte"
"FLYING SQUIRREL",6,1,87.22,9.59931088596881,78400,2.53782688982784,1.79554880803023,0.728086472624899,8.84587966524596,"ste"
"FLYING SQUIRREL",6,5,87.22,9.59931088596881,78400,7.67113803377937,3.13100255205329,3.55407442047995,16.5574357121508,"ste"
"FLYING SQUIRREL",6,15,87.22,9.59931088596881,78400,22.5520481856537,5.63918897335866,13.9173410020277,36.5439689444951,"ste"
"FLYING SQUIRREL",6,30,87.22,9.59931088596881,78400,38.4477956315823,7.68855311534835,26.0805141318908,56.6795954041551,"ste"
"FLYING SQUIRREL",6,60,87.22,9.59931088596881,78400,51.5047674254989,9.24935699636999,36.3241175351937,73.0297457325576,"ste"
"FLYING SQUIRREL",6,1440,87.22,9.59931088596881,78400,53.8294786646618,6.89215734848168,41.9252581049915,69.1137730399399,"tte"
"FLYING SQUIRREL",7,1,87.22,9.59931088596881,78400,1.26417854735024,1.26188747536035,0.247771125034201,6.45009542318526,"ste"
"FLYING SQUIRREL",7,5,87.22,9.59931088596881,78400,5.10934969832144,2.55486755770173,2.02413674989427,12.8970803682611,"ste"
"FLYING SQUIRREL",7,15,87.22,9.59931088596881,78400,14.7437514376392,4.4466534417333,8.26896649737166,26.2884371975608,"ste"
"FLYING SQUIRREL",7,30,87.22,9.59931088596881,78400,22.7380338410573,5.68600412527974,14.031759451004,36.8462832307229,"ste"
"FLYING SQUIRREL",7,60,87.22,9.59931088596881,78400,31.9134388345901,6.8047019631311,21.109967101667,48.2458155118914,"ste"
"FLYING SQUIRREL",7,1440,87.22,9.59931088596881,78400,92.0862171997828,14.2092094253511,68.1743312782839,124.385105642638,"tte"
"FLYING SQUIRREL",8,1,87.22,9.59931088596881,78400,5.15344810772985,2.57962524575511,2.03982826867232,13.0197369096911,"ste"
"FLYING SQUIRREL",8,5,87.22,9.59931088596881,78400,11.8742030035824,3.95913314121018,6.28398109058294,22.4374795114485,"ste"
"FLYING SQUIRREL",8,15,87.22,9.59931088596881,78400,38.8522256693387,7.61853285517481,26.5504981893503,56.8537519972674,"ste"
"FLYING SQUIRREL",8,30,87.22,9.59931088596881,78400,49.343648859139,9.00663923616061,34.6043622386032,70.3609465750494,"ste"
"FLYING SQUIRREL",8,60,87.22,9.59931088596881,78400,80.2667372224024,12.5367694808341,59.208664478534,108.814295358174,"ste"
"FLYING SQUIRREL",8,1440,87.22,9.59931088596881,78400,60.3546297722795,6.12808317119809,49.4884795819262,73.6066528154013,"tte"
