"param","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model","g","sp","t","mode"
"sigma",3.036,0.402,2.237,3.031,3.932,1.2,18,"CAM-SC_info_separate",7,"PEMA",0,3.042
"D",186.941,34.691,105.399,198.875,224.297,1.38,20,"CAM-SC_info_separate",8,"PEMA",0,223.798
"lam0",14.931,4.563,8.484,14.072,26.153,2.41,14,"CAM-SC_info_separate",8,"PEMA",0,13.479
"N",1661.907,308.399,937,1768,1994,1.38,20,"CAM-SC_info_separate",8,"PEMA",0,1989.563
"psi",0.831,0.154,0.467,0.884,0.997,1.38,21,"CAM-SC_info_separate",8,"PEMA",0,0.995
"sigma",4.036,0.52,3.187,3.99,5.046,1.64,18,"CAM-SC_info_separate",8,"PEMA",0,3.657
"D",186.23,32.818,102.137,195.951,223.96,1.57,19,"CAM-SC_info_separate",1,"PEMA",15,223.424
"lam0",3.847,1.523,1.989,3.484,7.802,1.26,91,"CAM-SC_info_separate",1,"PEMA",15,2.987
"N",1655.584,291.75,908,1742,1991,1.57,19,"CAM-SC_info_separate",1,"PEMA",15,1986.236
"psi",0.827,0.146,0.453,0.87,0.995,1.58,18,"CAM-SC_info_separate",1,"PEMA",15,0.993
"sigma",2.556,0.395,1.907,2.531,3.39,1.03,79,"CAM-SC_info_separate",1,"PEMA",15,2.609
"D",186.934,27.018,122.835,192.013,223.285,1.97,26,"CAM-SC_info_separate",2,"PEMA",15,216.868
"lam0",4.978,1.163,2.88,4.952,7.343,1.1,114,"CAM-SC_info_separate",2,"PEMA",15,5.002
"N",1661.843,240.194,1092,1707,1985,1.97,26,"CAM-SC_info_separate",2,"PEMA",15,1927.953
"psi",0.831,0.12,0.543,0.854,0.992,1.98,26,"CAM-SC_info_separate",2,"PEMA",15,0.961
"sigma",2.872,0.376,2.202,2.853,3.713,1.02,72,"CAM-SC_info_separate",2,"PEMA",15,2.908
"D",197.974,22.057,145.332,203.6,224.634,1.63,30,"CAM-SC_info_separate",3,"PEMA",15,224.606
"lam0",3.981,1.053,2.128,3.937,6.107,1.13,65,"CAM-SC_info_separate",3,"PEMA",15,4.256
"N",1759.992,196.084,1292,1810,1997,1.63,30,"CAM-SC_info_separate",3,"PEMA",15,1996.75
"psi",0.88,0.098,0.644,0.905,0.998,1.64,29,"CAM-SC_info_separate",3,"PEMA",15,0.997
"sigma",3.454,0.521,2.6,3.399,4.604,1.04,48,"CAM-SC_info_separate",3,"PEMA",15,3.201
"D",200.934,21.08,145.219,207.762,224.072,1.35,25,"CAM-SC_info_separate",4,"PEMA",15,218.391
"lam0",3.167,1.027,1.846,2.959,5.916,1.74,58,"CAM-SC_info_separate",4,"PEMA",15,2.516
"N",1786.3,187.402,1291,1847,1992,1.35,25,"CAM-SC_info_separate",4,"PEMA",15,1941.496
"psi",0.893,0.094,0.645,0.923,0.996,1.35,25,"CAM-SC_info_separate",4,"PEMA",15,0.971
"sigma",3.528,0.541,2.427,3.579,4.548,1.95,60,"CAM-SC_info_separate",4,"PEMA",15,3.845
"D",188.875,24.894,128.962,193.251,222.385,1.28,30,"CAM-SC_info_separate",5,"PEMA",15,212.292
"lam0",3.9,1.223,2.051,3.806,6.475,1.42,48,"CAM-SC_info_separate",5,"PEMA",15,3.77
"N",1679.1,221.309,1146.475,1718,1977,1.28,30,"CAM-SC_info_separate",5,"PEMA",15,1887.278
"psi",0.839,0.111,0.571,0.859,0.988,1.28,29,"CAM-SC_info_separate",5,"PEMA",15,0.967
"sigma",3.737,0.601,2.773,3.672,5.053,1.37,47,"CAM-SC_info_separate",5,"PEMA",15,3.215
"D",189.852,29.403,118.11,198.2,224.072,1.42,16,"CAM-SC_info_separate",6,"PEMA",15,221.755
"lam0",2.729,0.787,1.418,2.676,4.506,1.09,98,"CAM-SC_info_separate",6,"PEMA",15,2.314
"N",1687.787,261.395,1050,1762,1992,1.42,16,"CAM-SC_info_separate",6,"PEMA",15,1971.405
"psi",0.843,0.131,0.524,0.88,0.996,1.42,14,"CAM-SC_info_separate",6,"PEMA",15,0.988
"sigma",3.161,0.585,2.13,3.062,4.345,1.15,51,"CAM-SC_info_separate",6,"PEMA",15,2.903
"D",201.139,20.478,149.21,207.312,224.297,1.2,24,"CAM-SC_info_separate",7,"PEMA",15,224.227
"lam0",3.07,1.007,1.549,2.897,5.344,1.17,54,"CAM-SC_info_separate",7,"PEMA",15,2.73
"N",1788.126,182.049,1326.475,1843,1994,1.2,24,"CAM-SC_info_separate",7,"PEMA",15,1993.378
"psi",0.894,0.091,0.661,0.921,0.997,1.2,27,"CAM-SC_info_separate",7,"PEMA",15,0.997
